,index,RA,DEC,z,xVal,yVal,zVal
311,6740,247.80731600000001,21.217451999999998,0.049283999999999994,-52.06136705085104,-127.61906409036818,53.50890061938347
312,22517,161.263481,54.981053,0.05191900000000001,-84.64406580743704,28.710579807871078,127.55911484359767
313,22461,171.619011,58.892945999999995,0.05299500000000001,-81.2606405740254,11.971978175238128,136.12351103711174
314,19181,152.810974,46.311378000000005,0.030219,-55.70101028622791,28.612945838345293,65.55446920344524
315,18489,234.50064,30.178971999999998,0.054577,-82.19070937394389,-115.22984739699368,82.30801857943999
316,5954,159.499883,43.342026000000004,0.050194,-102.57835769114656,38.35271513780067,103.35225444539616
317,14844,221.467436,51.327003000000005,0.055544,-78.02356619235091,-68.95040509465015,130.0937668757096
318,27582,353.679676,-0.194235,0.046386000000000004,138.31139844059925,-15.319382397497169,-0.4717503206663706
319,1671,211.94006000000002,6.895199000000001,0.058813,-148.64357850667662,-92.66673603469103,21.182146312551822
320,23347,237.252754,26.628083,0.038044999999999995,-55.19108568018164,-85.81321828757477,51.15499832442468
321,6650,253.984728,19.428892,0.057486,-44.87060870689667,-156.32513539470708,57.365863386678626
322,4294,199.93632,32.106574,0.051035000000000004,-121.91726962535488,-44.22086665654079,81.37466033258121
323,510,157.143015,0.922243,0.0517,-142.9026123498581,60.238038850448206,2.4964092288894917
324,5851,158.034047,40.250063,0.048398000000000004,-102.77207917181381,41.45159285396618,93.81344694963221
325,5004,176.043368,29.3463,0.055378,-144.46945289613566,9.992408351165945,81.4201136773634
326,10212,149.60459699999998,17.879772,0.057579,-141.79900158150969,83.17768780700398,53.03382477784904
327,16715,160.63347,21.125545000000002,0.035455,-93.6025062550229,32.90119853990133,38.33529943037343
328,20104,195.73664399999998,3.277168,0.046869,-135.1155170408033,-38.07251764211822,8.03796642111605
329,7397,146.06856499999998,56.662626,0.047463,-64.92651745433996,43.680534546660674,118.95875568435166
330,8946,227.89163399999998,30.420989000000002,0.041548,-72.07180603288865,-79.74003892308241,63.11345105207748
331,23868,1.2653,14.074554999999998,0.050032,145.55463460302448,3.2149003951059334,36.500985973389504
332,8764,194.171377,36.450084000000004,0.024439,-57.17962412803896,-14.438279135348058,43.5592604297405
333,2025,214.37066099999998,18.846181,0.056937,-133.42938714197132,-91.26068649851469,55.17683814552766
334,19802,162.551816,51.084961,0.020626,-37.08128214323479,11.654825220444275,48.14592867205607
335,8490,215.10262999999998,30.52282,0.030692,-64.89088110720745,-45.610525141769884,46.76369661844802
336,13032,135.66507,35.582951,0.05904500000000001,-103.04082240492383,100.6760398660129,103.07149043267947
337,20195,189.911183,9.945316,0.044643,-129.9476997705385,-22.70564087338267,23.130634186614348
338,22355,171.78110700000002,49.461801,0.055829,-107.74091572299689,15.561969623307485,127.28556614798606
339,2199,218.16137799999998,23.830553,0.055175999999999996,-119.0542437152797,-93.55657237039681,66.87879786363902
