,RA,DEC,z,xVal,yVal,zVal
25695,233.58089700000002,36.753935,0.050587,-72.18811637062899,-97.84526263166087,90.81069076051472
17799,235.23314900000003,26.375756,0.058804999999999996,-90.12627262268532,-129.83493481514068,78.37344518195926
13039,139.345888,43.327333,0.051724,-85.63650274780169,73.53976669143601,106.47366667911325
28145,239.71286899999998,-0.275812,0.021847,-33.05415118892281,-56.594577732871315,-0.31550185073899484
24401,199.421147,63.704925,0.032531,-40.77316112238531,-14.375413825113432,87.49451673359161
25374,128.957536,17.545554,0.054453999999999995,-97.93446293980381,121.12242723682613,49.24775764389644
17413,157.516387,26.019873999999998,0.046768000000000004,-116.49935188817145,48.216579793561614,61.54896309969089
18051,225.737686,16.764384,0.053252,-106.76190619984281,-109.54704860670078,46.07948634845121
13150,243.50352900000001,29.291187,0.054175,-63.23862548202146,-126.85662666220219,79.51508123639992
10195,153.180472,17.41064,0.058475,-149.38230294976537,75.52234691133118,52.490316320527725
20972,193.518298,18.56005,0.056139,-155.23446231268733,-37.32093426903528,53.606860239872304
19746,133.81253700000002,43.933803000000005,0.035291,-52.78351547003484,55.0180375936287,73.45752625136959
6290,153.68573999999998,44.772937,0.04675,-89.24676023835421,44.136137332808836,98.7779310792505
20603,187.817321,21.373521,0.043575,-120.60299699039491,-16.557700572232942,47.64226373394816
10821,141.366064,23.380941,0.051005,-109.71296844551351,87.68915594673038,60.722868091220455
26314,320.456491,-0.032646,0.042796,99.00527814295047,-81.74000301251006,-0.073152934768191
6168,156.053926,43.079428,0.044481,-89.07851654087314,39.559894002599016,91.14311233648169
27516,346.883872,0.938041,0.050654000000000005,147.97780085875561,-34.47942527688195,2.487796129585634
44,44.41652,-7.777117999999999,0.021544,45.74013270362709,44.81788987669521,-8.74599515521273
19921,142.387938,65.699421,0.030412,-29.742296854493276,22.91462842687245,83.15240993427412
6570,246.725057,22.70974,0.059851999999999995,-65.44982859128385,-152.15593332241423,69.31990354982176
13775,128.95625900000002,46.538292,0.048296,-62.661474648762955,77.50137867386931,105.16467297763043
10739,148.23065400000002,22.712747,0.049523000000000005,-116.51454699604623,72.15580734061484,57.36416622186899
13999,124.032399,50.34377,0.048362999999999996,-51.82067921405456,76.7336842388932,111.70217916370248
2067,224.917483,20.301849,0.055985,-111.54464737494348,-111.22381749391224,58.274660780483465
11659,181.793701,6.137596,0.053564,-159.69262729634315,-5.000969378102929,17.180627359631576
572,159.055055,6.675451,0.052461,-145.98734582307998,55.878402819728414,18.295016995035173
10672,142.647308,12.826118,0.036953,-85.92473954149413,65.58207682868955,24.609921059650954
3292,212.023614,14.625437,0.049578,-122.01505836796903,-76.31341135522939,37.55517986628003
1024,174.332933,20.741604000000002,0.044931,-125.4405741931634,12.447817777744405,47.737480323761794
10608,138.45519,9.217611,0.042362000000000004,-93.88767431861562,83.19579086581352,20.35721958552761
11331,123.266598,9.320907,0.044661,-72.52405758843048,110.54771613000855,21.700410557154648
3797,206.531137,22.062276999999998,0.042789999999999995,-106.44170264080064,-53.14211918799491,48.217590225314176
24108,185.60325,48.281653000000006,0.021797,-43.307785892206226,-4.248845721020187,48.809485473151554
1835,220.79532200000003,8.762144000000001,0.052103,-116.95243776313028,-100.93397415327439,23.81099838073319
15899,44.033536,-0.420705,0.024884,53.66834579854486,51.88766042402792,-0.5481413764513084
1502,164.139219,23.979874,0.05954500000000001,-157.0028178535725,44.60726283580585,72.60007240585419
14472,344.329878,-9.138962,0.034519,98.44237717096318,-27.61552173856891,-16.44790518687574
4638,211.36122000000003,34.970135,0.046237,-97.0604955160363,-59.15584529695368,79.50212386084026
6238,155.388976,46.126371,0.041698,-78.82283653567525,36.10625867937143,90.1765344235879
631,164.312337,8.659021000000001,0.045762,-130.66557361765598,36.698080114621455,20.66892796130837
10309,152.677372,16.983942000000003,0.050036000000000004,-127.54502107699264,65.89469801580614,43.84709837463845
8963,230.39870299999998,32.173004999999996,0.042071,-68.09930490534639,-82.31412489017474,67.20558670209924
19148,151.920897,45.840123999999996,0.027032,-49.84684710398678,26.59237873729323,58.178161219517065
18822,236.344898,30.885977,0.048167,-68.72505483387846,-103.22401344370459,74.17687569353603
12047,218.34416099999999,35.118095000000004,0.052565999999999995,-101.16816966345188,-80.02449327825369,90.71792064694681
13394,249.452041,39.062529999999995,0.049373,-40.36690639465327,-107.69131034512459,93.33987735836901
26012,124.438891,31.170326,0.046835,-67.98800815311523,99.14954330588046,72.7231313586487
7850,167.374919,63.314178000000005,0.05975900000000001,-78.56621956618447,17.597744688282216,160.18087043702857
10585,136.019172,14.737847,0.05041,-105.24068786193655,101.56171786367996,38.47243146624239
5267,159.233221,36.433503,0.059578,-134.4573714530612,50.98637375116194,106.14823460444529
26218,192.205713,16.171379,0.058815,-165.63283317527757,-35.82837386629591,49.14193957738734
18124,234.984002,18.315096,0.046527,-76.03503650771117,-108.52477968719084,43.86229563209977
6198,150.998956,38.373946000000004,0.045361,-93.30854566944188,51.72399406214726,84.47914909794387
26343,328.22161,-8.374908,0.050227,126.7266671957708,-78.50770646493432,-21.946653687249512
21524,186.179429,36.393252000000004,0.045538999999999996,-109.33275184214114,-11.837622102917257,81.05815669365609
24588,131.07151000000002,-0.487059,0.051664,-101.82613595112318,116.84272419000968,-1.317537521557122
11265,7.343551,-10.576274,0.056965999999999996,166.61672468421926,21.47283233587293,-31.367354542239767
21504,188.410949,35.179768,0.048076,-116.61660530574439,-17.243213610660415,83.09605848258609
6042,147.330123,39.280184000000006,0.056188,-109.83612465654923,70.4320205531658,106.72009322161126
19068,179.182548,45.926171999999994,0.025592,-53.39877515364289,0.7619042437437654,55.15926477042688
17585,151.65189099999998,34.420709,0.043951,-95.72333667548551,51.645430971944464,74.53191185280143
