,RA,DEC,z,xVal
94,179.025219,3.6327730000000003,0.050118,132.44107286608502
95,174.457629,0.479988,0.048754,12.853302553064024
96,180.738384,5.118187,0.053649,6.14091296425524
97,178.566154,4.835111,0.053878999999999996,-17.32035108343044
98,179.111355,5.004613,0.052402,-45.25105175568991
99,178.37188799999998,5.087638,0.052744000000000006,-44.396582500688034
100,179.98490800000002,7.4110380000000005,0.053147,-41.718265740213795
101,177.77097,6.921972,0.053652,-34.58933899468782
102,177.032,5.956601,0.05181,66.40682828097044
103,177.340435,6.448614,0.051571000000000006,24.244284767149782
104,179.562533,5.692315,0.049166,-107.9763521105523
105,179.37199099999998,5.6115379999999995,0.048636,-109.07421938145968
106,178.7659,6.335374,0.049901,-142.60466358489532
107,172.295955,0.8713719999999999,0.052744000000000006,-89.80107673620304
