,xVal,yVal,zVal
445,16.54,76.1,37.35
446,32.17,82.23,3.45
447,107.29,15.3,18.28
448,46.75,85.78,22.04
449,8.01,66.76,32.07
450,23.81,138.87,57.01
451,107.88,75.25,84.91
452,20.44,102.42,2.41
453,109.2,108.39,77.88
454,3.12,49.7,16.26
455,33.0,86.67,14.73
456,71.76,59.13,10.34
457,117.98,67.9,54.54
458,100.17,31.89,104.54
459,48.7,52.31,79.78
460,64.07,21.34,0.44
461,116.98,52.13,122.67
462,81.66,131.93,21.74
463,57.37,138.33,127.81
464,6.12,6.92,38.33
465,68.37,133.0,34.22
466,80.72,125.35,74.13
467,11.53,29.38,100.51
468,16.77,102.85,47.48
469,124.22,62.88,99.01
470,52.62,18.05,8.13
471,94.6,55.61,79.33
472,60.48,31.18,81.11
473,46.73,7.74,91.59
474,77.4,94.62,95.96
475,66.37,53.21,50.03
476,82.65,68.73,102.18
477,84.95,67.04,12.92
478,37.93,14.04,75.58
479,120.66,121.04,19.32
480,96.75,107.32,67.99
481,54.68,9.86,123.22
482,87.72,60.47,10.46
483,2.2,85.32,3.49
484,102.5,35.93,46.3
485,61.27,28.53,13.08
486,61.42,41.61,13.39
487,77.48,51.97,62.34
488,80.92,52.69,127.49
489,82.14,2.56,58.97
490,104.84,52.3,129.43
491,80.82,36.34,45.08
492,74.09,55.38,117.01
493,17.45,106.36,49.65
494,94.05,130.75,76.06
495,2.93,9.15,40.83
496,71.04,105.64,5.96
497,22.56,35.71,1.18
498,124.64,51.6,87.03
499,73.12,114.64,45.53
500,93.36,31.88,9.15
501,53.43,52.38,10.51
502,127.04,4.93,42.5
503,71.86,92.08,103.09
504,81.01,95.3,104.8
505,17.76,64.51,104.15
506,83.78,48.28,122.44
507,75.06,95.33,12.84
508,76.21,69.72,42.09
509,135.55,133.52,21.27
510,67.49,140.14,48.41
511,110.46,110.48,39.37
512,78.44,47.81,68.89
513,64.59,0.69,50.8
514,26.53,45.17,140.83
515,125.93,130.4,89.17
516,37.65,99.71,111.56
517,48.74,85.32,37.36
518,20.67,80.49,28.66
519,85.27,37.44,79.44
520,29.06,23.04,140.07
521,13.28,76.31,38.97
522,72.92,128.88,47.9
523,75.62,89.53,54.86
524,126.86,135.03,77.42
525,1.29,123.71,73.72
526,49.84,61.85,0.75
527,47.62,89.93,109.52
528,45.03,58.62,106.92
529,9.91,131.36,19.88
530,135.18,79.11,106.61
531,35.33,109.0,68.3
532,49.74,74.25,21.81
533,46.39,79.43,72.73
534,78.98,98.6,13.88
535,22.66,7.14,45.55
536,15.42,6.47,62.7
537,44.18,82.15,82.75
538,47.73,12.02,98.62
539,53.76,25.11,118.29
540,16.01,90.01,134.72
541,89.68,117.34,20.24
542,128.69,138.65,79.6
543,99.94,64.16,21.09
544,85.73,128.02,88.87
545,39.2,36.25,31.06
546,109.48,15.79,124.07
547,60.05,2.01,113.48
548,3.31,5.45,41.44
549,91.45,135.76,25.03
550,7.33,52.73,79.7
551,69.72,123.86,65.37
552,101.53,135.82,126.8
553,48.3,19.67,109.92
554,101.51,129.82,135.83
555,52.89,80.63,106.29
556,107.37,78.64,82.6
557,9.67,4.64,74.54
558,109.61,81.51,95.59
559,14.3,80.07,36.78
560,57.34,112.94,128.8
561,49.16,133.52,54.22
562,138.43,17.36,1.41
563,9.9,122.22,106.17
564,30.11,83.4,54.82
565,121.63,56.77,36.97
566,110.96,118.43,113.05
567,73.35,83.05,83.21
568,101.31,38.1,67.52
569,59.83,40.1,117.24
570,135.95,127.93,106.84
571,74.25,101.32,5.78
572,107.51,118.68,16.24
573,74.27,2.68,61.8
574,121.93,140.95,67.01
575,134.91,126.36,20.43
576,127.57,104.72,20.85
577,82.4,50.54,65.02
578,116.9,2.46,54.59
579,72.66,68.94,10.43
580,28.28,68.22,33.04
581,47.32,74.24,95.57
582,29.84,131.91,63.81
583,62.51,120.69,117.76
584,53.95,74.2,90.03
585,70.92,52.43,58.75
586,17.39,130.96,110.6
587,29.08,6.06,28.29
588,94.99,8.39,80.35
589,43.94,136.68,21.36
590,112.63,34.94,130.76
591,53.62,12.9,106.38
592,62.66,107.16,126.19
593,55.31,15.34,12.59
594,55.0,102.78,101.91
595,87.6,59.81,11.11
596,33.78,92.72,33.58
597,14.63,92.38,14.13
598,99.71,59.61,35.7
599,122.61,56.92,60.38
600,73.74,63.1,48.69
601,62.77,107.5,125.38
602,106.87,30.31,88.11
603,47.92,67.39,0.4
604,114.64,45.72,30.05
605,105.18,69.28,87.48
606,53.03,127.68,136.73
607,87.66,12.03,97.61
608,31.27,69.86,79.95
609,55.41,50.37,71.11
610,101.36,41.43,35.72
611,121.3,78.7,123.27
612,26.0,67.44,116.42
613,112.73,27.74,36.32
614,18.28,127.07,23.47
615,33.63,70.8,97.11
616,75.56,65.22,10.41
617,43.72,127.24,80.88
618,135.67,18.62,99.35
619,29.0,136.32,59.83
620,131.62,79.46,61.43
621,102.49,60.78,68.56
622,100.55,137.24,69.06
623,29.78,16.37,101.97
624,74.63,78.77,34.66
625,52.82,76.64,92.72
626,23.03,37.7,44.93
627,50.88,53.07,91.59
628,38.16,83.84,87.17
629,115.31,53.27,4.83
630,118.5,126.33,8.22
631,115.61,55.73,71.34
632,115.24,119.93,125.96
633,29.6,133.67,60.39
634,89.23,136.89,26.57
635,52.37,122.42,15.41
636,21.44,89.39,136.87
637,92.56,14.13,50.65
638,124.83,7.95,93.31
639,61.03,89.85,21.22
640,97.58,130.93,60.03
641,68.46,110.57,93.55
642,127.55,137.02,79.98
643,84.84,79.14,29.43
644,112.79,0.77,60.56
645,40.66,59.79,65.78
646,58.49,35.34,116.32
647,68.69,63.51,11.9
648,134.68,55.96,73.55
649,84.26,47.9,50.78
650,43.04,131.4,76.89
651,9.38,40.93,5.97
652,111.39,84.91,4.42
653,120.77,122.18,18.07
654,34.43,99.89,121.89
655,109.24,61.22,111.58
656,114.64,67.59,86.6
657,89.18,65.24,3.23
658,29.66,102.21,86.14
659,132.67,99.72,7.66
660,6.03,8.63,120.34
661,46.25,31.3,34.69
662,109.34,61.8,108.13
663,14.1,76.83,38.46
664,105.73,93.3,86.85
665,138.37,92.17,139.57
666,26.46,138.64,57.53
667,8.15,51.39,80.96
668,129.38,119.32,140.62
669,81.42,111.3,112.07
670,129.76,45.59,131.81
671,71.51,72.24,9.94
672,10.34,87.73,55.44
673,123.99,129.41,23.93
674,120.69,97.27,81.68
675,132.44,112.03,39.56
676,32.29,87.93,25.93
677,123.86,52.49,122.1
678,25.01,109.06,12.02
679,32.79,88.16,130.94
680,23.64,7.6,101.5
681,97.05,92.31,123.88
682,48.26,81.52,72.86
683,27.35,141.23,81.62
684,54.75,131.7,99.11
685,132.89,130.06,100.6
686,72.05,78.61,115.9
687,103.52,22.65,16.19
688,131.55,107.57,78.91
689,73.98,83.83,99.45
690,95.47,67.85,18.3
691,90.89,26.27,26.47
692,56.55,107.02,10.04
693,46.96,19.82,133.12
694,106.17,60.13,102.09
695,22.55,38.67,123.05
696,70.13,133.68,76.14
697,25.73,60.03,46.63
698,46.85,80.99,93.57
699,51.93,57.41,129.78
700,89.63,53.42,65.66
701,13.37,84.47,54.52
702,57.52,71.36,9.05
703,22.86,55.9,57.21
704,90.33,96.88,37.83
705,81.6,28.29,102.66
706,78.58,58.19,17.22
707,106.28,52.28,130.15
