,Mass,Center of Mass,RMS Radius
180,14000000000.0,"(9.9399999999999995, 96.400000000000006, 26.77)",0.0
181,14000000000.0,"(120.23, 20.449999999999999, 71.980000000000004)",0.0
182,28000000000.0,"(119.03999999999999, 64.335000000000008, 27.015000000000001)",0.032403703492
183,14000000000.0,"(54.869999999999997, 4.5899999999999999, 46.990000000000002)",0.0
184,14000000000.0,"(45.539999999999999, 57.030000000000001, 93.819999999999993)",0.0
185,42000000000.0,"(46.943333333333328, 4.916666666666667, 107.28333333333335)",0.419602986961
186,658000000000.0,"(104.55276595744682, 51.998936170212765, 128.9206382978723)",1.05301055828
187,14000000000.0,"(34.5, 90.120000000000005, 138.38999999999999)",0.0
188,1274000000000.0,"(53.059450549450538, 123.84340659340661, 137.38758241758245)",1.35584929231
189,56000000000.0,"(109.315, 3.1550000000000002, 2.0699999999999998)",0.33697180891
190,14000000000.0,"(122.27, 109.13, 43.210000000000001)",0.0
191,28000000000.0,"(113.19, 139.095, 11.48)",0.251246890528
192,14000000000.0,"(74.579999999999998, 61.210000000000001, 44.770000000000003)",0.0
193,546000000000.0,"(77.320000000000007, 101.18589743589745, 13.483589743589745)",0.689240403626
194,588000000000.0,"(54.42309523809525, 9.1409523809523794, 123.50571428571426)",0.829811913503
195,14000000000.0,"(93.200000000000003, 75.849999999999994, 44.229999999999997)",0.0
196,896000000000.0,"(127.31328125, 136.93921875000007, 79.492343749999989)",1.07737688038
197,14000000000.0,"(40.57, 123.54000000000001, 42.609999999999999)",0.0
198,42000000000.0,"(135.03999999999999, 68.683333333333337, 73.86333333333333)",0.234046529087
199,28000000000.0,"(27.079999999999998, 57.969999999999999, 108.605)",0.137568164922
200,14000000000.0,"(24.030000000000001, 67.239999999999995, 95.790000000000006)",0.0
201,14000000000.0,"(37.93, 82.040000000000006, 125.26000000000001)",0.0
202,14000000000.0,"(135.80000000000001, 88.540000000000006, 122.8)",0.0
203,14000000000.0,"(108.31, 37.659999999999997, 69.969999999999999)",0.0
204,14000000000.0,"(117.53, 126.61, 99.420000000000002)",0.0
205,14000000000.0,"(38.670000000000002, 5.7699999999999996, 15.619999999999999)",0.0
206,154000000000.0,"(135.92272727272729, 13.134545454545453, 29.710000000000001)",0.652929824232
207,14000000000.0,"(132.88999999999999, 5.3700000000000001, 28.879999999999999)",0.0
208,56000000000.0,"(87.367499999999993, 119.28, 87.867499999999993)",0.169226180008
209,14000000000.0,"(27.48, 44.240000000000002, 133.40000000000001)",0.0
210,630000000000.0,"(62.43822222222223, 107.34444444444445, 125.58822222222217)",0.757267407146
211,14000000000.0,"(106.94, 92.609999999999999, 34.850000000000001)",0.0
212,28000000000.0,"(109.465, 55.155000000000001, 73.280000000000001)",0.342271821802
213,112000000000.0,"(9.7874999999999996, 38.7425, 64.456249999999997)",0.302383758658
214,14000000000.0,"(31.34, 14.029999999999999, 124.45999999999999)",0.0
215,28000000000.0,"(131.28, 95.609999999999999, 25.895)",0.233933751306
216,28000000000.0,"(129.58500000000001, 107.52500000000001, 135.755)",0.347670821324
217,14000000000.0,"(113.90000000000001, 104.59999999999999, 70.310000000000002)",0.0
218,14000000000.0,"(25.559999999999999, 134.47999999999999, 9.0800000000000001)",0.0
219,14000000000.0,"(9.7400000000000002, 47.350000000000001, 61.990000000000002)",0.0
220,252000000000.0,"(80.88611111111112, 120.42500000000001, 85.053333333333342)",0.583594121599
221,56000000000.0,"(119.2525, 117.9725, 0.98999999999999999)",0.487685862005
222,812000000000.0,"(62.183275862068967, 5.7124137931034502, 43.629310344827587)",1.26345252267
223,14000000000.0,"(132.38999999999999, 22.210000000000001, 54.189999999999998)",0.0
224,28000000000.0,"(50.549999999999997, 129.03, 10.58)",0.327871926215
225,14000000000.0,"(41.210000000000001, 101.72, 26.949999999999999)",0.0
226,714000000000.0,"(112.09607843137255, 64.941764705882349, 92.707843137254898)",0.880557083115
227,560000000000.0,"(54.910250000000005, 115.28899999999999, 13.082500000000001)",1.05524887467
228,280000000000.0,"(98.116000000000014, 135.1825, 70.765000000000015)",0.787526348766
229,98000000000.0,"(81.694285714285712, 93.75142857142859, 112.44285714285715)",0.451410487884
230,714000000000.0,"(87.846078431372547, 60.138627450980387, 10.415882352941175)",1.05156330776
231,14000000000.0,"(106.31999999999999, 134.02000000000001, 42.32)",0.0
232,14000000000.0,"(11.99, 108.75, 53.649999999999999)",0.0
233,28000000000.0,"(82.870000000000005, 121.04499999999999, 117.715)",0.123490890352
234,42000000000.0,"(95.393333333333331, 118.61, 94.680000000000007)",0.237533623351
235,14000000000.0,"(133.91999999999999, 25.48, 141.22999999999999)",0.0
236,14000000000.0,"(89.099999999999994, 128.5, 62.390000000000001)",0.0
237,14000000000.0,"(28.920000000000002, 106.20999999999999, 108.47)",0.0
238,14000000000.0,"(14.41, 117.45, 39.530000000000001)",0.0
239,14000000000.0,"(53.950000000000003, 127.90000000000001, 130.74000000000001)",0.0
240,98000000000.0,"(72.25, 55.465714285714284, 12.158571428571429)",0.415392609959
241,14000000000.0,"(131.78999999999999, 93.640000000000001, 133.03)",0.0
242,14000000000.0,"(90.75, 63.909999999999997, 64.459999999999994)",0.0
243,28000000000.0,"(137.04000000000002, 119.21000000000001, 124.09)",0.249198715888
244,28000000000.0,"(138.95999999999998, 102.22999999999999, 6.6150000000000002)",0.376065153929
245,14000000000.0,"(96.879999999999995, 95.840000000000003, 138.93000000000001)",0.0
246,14000000000.0,"(78.989999999999995, 50.280000000000001, 65.290000000000006)",0.0
247,154000000000.0,"(124.16, 84.577272727272742, 66.455454545454543)",0.754061180849
248,14000000000.0,"(16.420000000000002, 81.099999999999994, 31.719999999999999)",0.0
249,28000000000.0,"(45.480000000000004, 132.07499999999999, 21.780000000000001)",0.323457879793
250,2044000000000.0,"(124.00815068493158, 133.54020547945214, 23.951643835616441)",1.15281460211
251,56000000000.0,"(56.442500000000003, 29.945, 114.52500000000001)",0.38427691838
252,1078000000000.0,"(58.855714285714299, 123.31246753246752, 124.93597402597402)",0.812836694124
253,14000000000.0,"(124.77, 33.520000000000003, 25.710000000000001)",0.0
254,14000000000.0,"(1.29, 135.44, 50.310000000000002)",0.0
255,546000000000.0,"(106.1430769230769, 54.368205128205133, 135.75256410256412)",0.74704458244
256,14000000000.0,"(104.91, 88.829999999999998, 47.009999999999998)",0.0
257,14000000000.0,"(40.899999999999999, 133.31999999999999, 81.180000000000007)",0.0
258,14000000000.0,"(123.33, 109.26000000000001, 9.4499999999999993)",0.0
259,168000000000.0,"(83.307500000000005, 67.974999999999994, 115.01666666666665)",0.412228867122
260,630000000000.0,"(84.557111111111141, 133.40266666666668, 70.819111111111098)",0.71553816404
261,28000000000.0,"(66.944999999999993, 105.19999999999999, 128.49000000000001)",0.0708872343938
262,14000000000.0,"(61.719999999999999, 124.40000000000001, 34.469999999999999)",0.0
263,14000000000.0,"(70.030000000000001, 51.82, 64.769999999999996)",0.0
264,14000000000.0,"(13.59, 106.48999999999999, 49.539999999999999)",0.0
265,504000000000.0,"(117.9088888888889, 111.48638888888887, 22.692499999999995)",0.550435714056
266,56000000000.0,"(114.25750000000001, 118.27499999999999, 15.262499999999999)",0.1257477634
267,14000000000.0,"(4.7699999999999996, 92.920000000000002, 7.5899999999999999)",0.0
268,224000000000.0,"(30.793125, 59.689999999999984, 35.740625000000001)",0.657040595207
269,126000000000.0,"(61.00888888888889, 0.28333333333333333, 10.186666666666667)",0.3857588321
270,56000000000.0,"(1.325, 77.212500000000006, 39.655000000000001)",0.266117924988
271,42000000000.0,"(96.350000000000009, 21.620000000000005, 41.869999999999997)",0.247924719757
272,14000000000.0,"(52.229999999999997, 117.5, 0.080000000000000002)",0.0
273,42000000000.0,"(86.75333333333333, 84.256666666666675, 64.25333333333333)",0.337045990927
274,14000000000.0,"(74.140000000000001, 13.18, 10.640000000000001)",0.0
275,14000000000.0,"(132.96000000000001, 58.520000000000003, 111.56999999999999)",0.0
276,14000000000.0,"(46.68, 54.32, 83.579999999999998)",0.0
277,14000000000.0,"(97.489999999999995, 132.77000000000001, 29.640000000000001)",0.0
278,14000000000.0,"(57.920000000000002, 44.039999999999999, 3.8799999999999999)",0.0
279,70000000000.0,"(132.56, 111.97799999999999, 39.736000000000004)",0.375819105422
280,350000000000.0,"(12.541600000000001, 6.6919999999999993, 45.849200000000003)",0.635242315971
281,14000000000.0,"(67.239999999999995, 102.79000000000001, 46.030000000000001)",0.0
282,14000000000.0,"(72.659999999999997, 139.25, 26.440000000000001)",0.0
283,14000000000.0,"(78.189999999999998, 126.95, 34.869999999999997)",0.0
284,14000000000.0,"(67.159999999999997, 73.5, 9.6799999999999997)",0.0
285,14000000000.0,"(64.549999999999997, 132.99000000000001, 97.260000000000005)",0.0
286,14000000000.0,"(7.4500000000000002, 38.219999999999999, 25.859999999999999)",0.0
287,14000000000.0,"(76.040000000000006, 66.670000000000002, 11.210000000000001)",0.0
288,28000000000.0,"(76.655000000000001, 114.175, 26.609999999999999)",0.350214220157
289,14000000000.0,"(95.079999999999998, 105.67, 49.289999999999999)",0.0
290,14000000000.0,"(127.94, 18.039999999999999, 94.900000000000006)",0.0
291,14000000000.0,"(29.18, 17.09, 128.69999999999999)",0.0
292,784000000000.0,"(51.509999999999998, 76.617857142857162, 19.98160714285714)",1.25658194416
293,70000000000.0,"(21.457999999999998, 69.118000000000009, 127.55800000000002)",0.449630959788
294,14000000000.0,"(10.83, 30.219999999999999, 120.52)",0.0
295,14000000000.0,"(120.81, 85.129999999999995, 62.380000000000003)",0.0
296,14000000000.0,"(114.26000000000001, 55.600000000000001, 130.94)",0.0
297,14000000000.0,"(76.840000000000003, 109.51000000000001, 64.290000000000006)",0.0
298,140000000000.0,"(74.643999999999991, 99.757000000000005, 68.937000000000012)",0.334194554115
299,14000000000.0,"(15.1, 109.53, 126.08)",0.0
300,42000000000.0,"(49.446666666666665, 77.170000000000002, 10.506666666666666)",0.323075498572
301,14000000000.0,"(58.979999999999997, 41.210000000000001, 72.019999999999996)",0.0
302,14000000000.0,"(88.780000000000001, 127.90000000000001, 105.59999999999999)",0.0
303,224000000000.0,"(97.775000000000006, 22.573125000000001, 6.2093749999999996)",0.65295661705
304,70000000000.0,"(5.6320000000000006, 94.475999999999999, 30.386000000000003)",0.0891291198206
305,14000000000.0,"(22.239999999999998, 50.93, 4.3499999999999996)",0.0
306,266000000000.0,"(113.33473684210524, 52.637894736842107, 7.7947368421052632)",0.732460279429
307,14000000000.0,"(38.310000000000002, 6.2599999999999998, 54.369999999999997)",0.0
308,14000000000.0,"(35.590000000000003, 31.859999999999999, 72.849999999999994)",0.0
309,28000000000.0,"(14.43, 73.615000000000009, 36.409999999999997)",0.0986154146166
310,14000000000.0,"(49.07, 37.439999999999998, 102.37)",0.0
311,14000000000.0,"(96.079999999999998, 107.88, 46.880000000000003)",0.0
312,14000000000.0,"(78.840000000000003, 2.0600000000000001, 8.3900000000000006)",0.0
313,14000000000.0,"(79.790000000000006, 59.090000000000003, 33.789999999999999)",0.0
314,28000000000.0,"(127.10499999999999, 137.81999999999999, 81.789999999999992)",0.176422787644
315,322000000000.0,"(61.887826086956515, 30.493478260869562, 134.24260869565219)",0.761370518317
316,14000000000.0,"(117.25, 114.04000000000001, 44.840000000000003)",0.0
317,14000000000.0,"(55.740000000000002, 135.22, 97.540000000000006)",0.0
318,14000000000.0,"(95.549999999999997, 90.349999999999994, 8.1400000000000006)",0.0
319,406000000000.0,"(122.39137931034486, 116.48793103448276, 125.84758620689655)",0.92404194046
320,14000000000.0,"(76.400000000000006, 120.04000000000001, 28.670000000000002)",0.0
321,14000000000.0,"(96.359999999999999, 111.87, 101.42)",0.0
322,28000000000.0,"(25.859999999999999, 55.545000000000002, 92.560000000000002)",0.054083269132
323,14000000000.0,"(125.05, 124.77, 110.26000000000001)",0.0
324,210000000000.0,"(123.02333333333333, 69.671333333333351, 6.2379999999999995)",0.843530148312
325,98000000000.0,"(70.897142857142853, 42.774285714285718, 77.978571428571428)",0.329328320764
326,70000000000.0,"(77.715999999999994, 75.736000000000004, 49.686)",0.269354784624
327,14000000000.0,"(96.540000000000006, 134.38999999999999, 111.47)",0.0
328,14000000000.0,"(70.849999999999994, 5.4100000000000001, 31.66)",0.0
329,42000000000.0,"(59.889999999999993, 29.74666666666667, 99.019999999999996)",0.317104959841
330,70000000000.0,"(67.199999999999989, 133.262, 32.768000000000001)",0.257044743187
331,14000000000.0,"(93.25, 6.25, 134.5)",0.0
332,14000000000.0,"(107.65000000000001, 68.560000000000002, 73.969999999999999)",0.0
333,910000000000.0,"(139.17830769230767, 102.00307692307693, 8.6616923076923094)",0.724182428224
334,56000000000.0,"(44.462499999999991, 13.1625, 44.695)",0.341924699313
335,14000000000.0,"(127.33, 89.180000000000007, 49.539999999999999)",0.0
336,112000000000.0,"(118.45750000000001, 60.588749999999997, 81.910000000000011)",0.430934667322
