,index,Mass,Center of Mass,RMS Radius,Potential Issue
91,334,1330000000000.0,"(7.1299799368421048, 19.104317726315799, 64.090650094736816)",0.238309382228,
92,340,51646000000000.0,"(7.023358170235845, 42.663124845757679, 6.4878747148278597)",0.850423538687,
93,346,2184000000000.0,"(73.495914929487142, 45.582058570512814, 33.856279820512825)",0.21800132785,
94,347,9814000000000.0,"(135.77603836091305, 13.051088405135509, 29.614859092724615)",0.460338422653,
95,353,420000000000.0,"(2.9082206333333338, 52.198009333333339, 4.4114575999999994)",0.141058216092,
96,361,2828000000000.0,"(6.5198820841584144, 20.480232673267313, 64.618945183168336)",0.331087353573,
97,375,210000000000.0,"(1.9207795999999999, 52.875829066666675, 44.316412199999995)",0.0960013491811,
98,391,952000000000.0,"(0.13441488235294119, 5.7006616323529435, 41.191162602941191)",0.216685357437,yes
99,395,322000000000.0,"(5.2117836956521737, 66.087738565217393, 36.715240652173918)",0.127982143783,
100,396,336000000000.0,"(141.18741600000001, 5.791161166666666, 41.18814283333333)",0.223533516864,yes
101,398,994000000000.0,"(67.509598478873258, 140.17180107042253, 47.621627760563392)",0.21280481161,
102,411,252000000000.0,"(67.888176722222227, 26.628295055555562, 17.813400888888889)",0.152970177565,
103,415,322000000000.0,"(1.3862905217391306, 44.22484004347826, 63.415020260869568)",0.134510080144,
104,417,196000000000.0,"(65.420268357142859, 32.369759071428568, 1.7168663571428573)",0.181090775522,
105,423,924000000000.0,"(68.17358771212119, 38.749946999999999, 13.357052878787879)",0.185679173989,
106,428,518000000000.0,"(141.07646059459458, 36.643720027027044, 44.94870302702703)",0.180068907755,yes
107,432,182000000000.0,"(0.17409353846153849, 32.205910769230769, 30.175766923076932)",0.15302452946,yes
108,435,518000000000.0,"(140.05891797297301, 53.530531054054052, 66.626398810810812)",0.181491718473,
109,443,2674000000000.0,"(2.5137229738219897, 53.723199251308891, 62.389408015706842)",0.349240834542,
110,461,784000000000.0,"(70.255462857142874, 141.08315792857141, 20.602284464285713)",0.146565454221,yes
111,464,154000000000.0,"(4.7496178181818181, 73.422726818181829, 7.7414506363636351)",0.13703842614,
112,465,252000000000.0,"(140.42707572222224, 18.068445055555557, 13.716521222222221)",0.137071391768,
113,474,2884000000000.0,"(67.48482577184464, 22.799364616504864, 140.50116583009705)",0.271375576929,
114,477,588000000000.0,"(66.841483619047608, 23.469844999999999, 140.22097850000003)",0.337300576845,
115,492,518000000000.0,"(1.4875225945945949, 5.3582591081081103, 41.28168056756757)",0.196984071938,
116,508,378000000000.0,"(0.087932888888888894, 53.669620962962959, 65.063489777777761)",0.197533517105,yes
117,509,24430000000000.0,"(136.31078431117479, 76.743090182234894, 62.209052639541497)",0.975895886444,
118,512,1666000000000.0,"(138.87933810084033, 21.88755554621849, 29.233684218487401)",0.27011010555,
119,516,994000000000.0,"(137.83687669014088, 64.980647380281695, 60.677109676056332)",0.198154670109,
120,522,1078000000000.0,"(68.176189701298682, 0.17293359740259742, 51.562857506493494)",0.357711246571,yes
121,524,224000000000.0,"(140.14824674999997, 64.455864000000005, 61.014711812499996)",0.134233028798,
122,525,182000000000.0,"(132.95320607692307, 138.36030592307691, 24.801424153846149)",0.162814517967,
123,532,3108000000000.0,"(140.53885320720718, 67.876951765765753, 70.942374346846833)",0.329206243644,yes
124,544,490000000000.0,"(71.503411228571409, 61.218481914285711, 10.17157622857143)",0.160653363118,
125,550,266000000000.0,"(137.82098721052634, 8.048075578947369, 38.443044947368413)",0.163010197505,
126,555,6776000000000.0,"(8.3937704917355376, 68.731666981404985, 138.85749187603284)",0.421540290056,
127,559,392000000000.0,"(7.0029919642857168, 24.69930042857143, 65.824509499999991)",0.199651193973,
128,571,980000000000.0,"(134.63462745714287, 0.51150882857142865, 25.205097000000006)",0.296596924889,
129,572,182000000000.0,"(72.243739230769236, 46.091445307692311, 35.380400307692305)",0.167816968459,
130,578,574000000000.0,"(2.7826491707317071, 28.862756731707311, 37.24112902439024)",0.253080319478,
131,579,392000000000.0,"(141.15287785714287, 3.5506635000000002, 38.604893392857143)",0.173502738435,yes
132,580,742000000000.0,"(140.41784575471701, 9.5255365660377347, 41.072737962264156)",0.168661198731,
133,581,4144000000000.0,"(65.315223324324307, 2.860306277027028, 47.317508905405418)",0.537575882634,
134,612,196000000000.0,"(3.1633804285714286, 51.809293285714283, 17.860674285714286)",0.15500861386,
135,623,1512000000000.0,"(68.47873162037034, 138.93640009259258, 42.275204351851876)",0.218088030318,
136,629,196000000000.0,"(0.70537357142857149, 4.8485715714285718, 40.681857785714286)",0.119733872663,
137,630,1302000000000.0,"(140.0563463763441, 66.804023967741927, 67.801186978494613)",0.260110834809,
138,656,238000000000.0,"(1.5681591176470588, 34.059565058823537, 48.289067117647058)",0.103795168791,
139,657,392000000000.0,"(135.81570225000002, 139.21548467857147, 34.168895642857144)",0.167714085386,
140,658,392000000000.0,"(3.4144092142857132, 10.117306464285713, 67.836491250000009)",0.126269528703,
141,677,714000000000.0,"(3.3629960784313715, 5.2800876274509783, 41.392552686274513)",0.242348009397,
142,685,1624000000000.0,"(138.29185076724139, 2.956717974137931, 33.948775974137924)",0.29640773046,
143,690,1708000000000.0,"(137.09605822131144, 53.55168773770491, 70.011843713114786)",0.297803323144,
144,692,224000000000.0,"(138.38507175000001, 10.273268999999999, 31.880087812500001)",0.131645695686,
145,701,840000000000.0,"(141.11591691666666, 139.21509350000002, 25.318958100000014)",0.189944164397,yes
146,706,13272000000000.0,"(7.6730350105485261, 67.086400682489469, 137.34047631962028)",0.513932855943,
147,708,294000000000.0,"(6.0173146190476201, 33.51325557142858, 17.963381285714281)",0.148443929653,
148,725,224000000000.0,"(4.0611843749999998, 62.885757250000005, 27.384353437499996)",0.119166200297,
149,726,168000000000.0,"(3.9736353333333336, 73.520860083333346, 8.9235319166666667)",0.120024266749,
150,743,266000000000.0,"(137.44844542105261, 1.4592817894736843, 28.720336105263161)",0.170440718247,
151,751,182000000000.0,"(139.15532630769232, 24.915270153846151, 28.937626692307695)",0.106172670978,
152,761,1526000000000.0,"(1.5698938807339449, 58.520436513761481, 23.721877981651371)",0.255596935823,
153,764,742000000000.0,"(5.9067775471698134, 78.533040886792463, 3.1665120377358504)",0.247362438819,
154,778,5068000000000.0,"(75.254720925414375, 30.746499024861869, 27.171978740331497)",0.26839169719,
155,782,4032000000000.0,"(139.97778060069439, 53.004493857638892, 60.10720056944443)",0.357825684729,
156,785,168000000000.0,"(2.1276600833333332, 53.583333416666669, 43.439608916666664)",0.105363992544,
157,810,154000000000.0,"(8.1266310909090915, 72.71457127272727, 0.87862500000000021)",0.179562923715,
158,826,238000000000.0,"(67.678069176470586, 139.37947529411767, 44.540079705882349)",0.10836634303,
159,834,154000000000.0,"(4.0407763636363629, 1.3652340000000001, 47.469962454545453)",0.0787338803504,
160,859,630000000000.0,"(3.8297821111111117, 38.189372244444442, 20.28832968888889)",0.345419629605,
161,863,196000000000.0,"(4.8086210714285711, 57.832238499999995, 2.1882218571428571)",0.0633757129732,
162,871,182000000000.0,"(4.1634796923076927, 47.272272307692305, 7.9720670769230777)",0.1866722841,
163,889,462000000000.0,"(1.079993393939394, 44.181243424242432, 11.852287575757574)",0.190324898567,
164,890,154000000000.0,"(3.7696918181818178, 21.160680545454547, 20.639917636363638)",0.0826382857611,
165,896,364000000000.0,"(5.1779671923076922, 49.082360307692291, 46.127365692307691)",0.195977839248,
166,923,1400000000000.0,"(2.7215584099999997, 44.926277460000001, 18.215902290000002)",0.325280884136,
167,929,168000000000.0,"(4.0704315833333338, 39.255350999999997, 63.218110333333328)",0.102249695193,
168,953,196000000000.0,"(71.182286500000004, 57.139792357142859, 43.490990642857135)",0.166643261315,
169,959,434000000000.0,"(6.3007467419354839, 14.445270483870969, 64.953952645161309)",0.152597068221,
170,982,784000000000.0,"(7.3167615357142868, 25.4663945, 65.976423321428555)",0.235784977681,
171,1024,168000000000.0,"(2.03098775, 75.266892750000011, 57.004372083333323)",0.184780649097,
172,1032,154000000000.0,"(2.2271977272727272, 35.669507454545446, 53.348204272727259)",0.128495435991,
173,1058,294000000000.0,"(137.09638833333332, 141.00934995238097, 25.302532809523811)",0.184579059828,yes
174,1062,182000000000.0,"(7.5415795384615389, 74.095299923076922, 45.445512230769239)",0.220727985942,
