,x,y,z,flag
236,87.71,60.57,10.44,230.0
237,106.32,134.02,42.32,231.0
238,11.99,108.75,53.65,232.0
239,82.93,121.07,117.82,233.0
240,95.28,118.74,94.72,234.0
241,133.92,25.48,141.23,235.0
242,89.1,128.5,62.39,236.0
243,28.92,106.21,108.47,237.0
244,14.41,117.45,39.53,238.0
245,53.95,127.9,130.74,239.0
246,72.29,55.42,12.16,240.0
247,131.79,93.64,133.03,241.0
248,90.75,63.91,64.46,242.0
249,136.93,119.01,124.19,243.0
250,139.17,101.94,6.5,244.0
251,96.88,95.84,138.93,245.0
252,78.99,50.28,65.29,246.0
253,124.25,84.67,66.75,247.0
254,16.42,81.1,31.72,248.0
255,45.59,131.8,21.65,249.0
256,123.85,133.36,23.99,250.0
257,56.11,29.7,114.73,251.0
258,58.79,123.45,125.68,252.0
259,124.77,33.52,25.71,253.0
260,1.29,135.44,50.31,254.0
261,106.0,54.81,135.02,255.0
262,104.91,88.83,47.01,256.0
263,40.9,133.32,81.18,257.0
264,123.33,109.26,9.45,258.0
265,83.31,67.71,115.17,259.0
266,85.2,132.78,70.89,260.0
267,66.94,105.13,128.48,261.0
268,61.72,124.4,34.47,262.0
269,70.03,51.82,64.77,263.0
270,13.59,106.49,49.54,264.0
271,118.07,112.22,22.41,265.0
272,114.25,118.21,15.13,266.0
273,4.77,92.92,7.59,267.0
274,30.92,59.73,35.66,268.0
275,61.47,0.35,10.1,269.0
276,1.21,76.93,39.41,270.0
277,96.43,21.35,42.04,271.0
278,52.23,117.5,0.08,272.0
279,133.59,8.12,35.59,21.0
280,86.87,84.4,64.38,273.0
281,74.14,13.18,10.64,274.0
282,132.96,58.52,111.57,275.0
283,46.68,54.32,83.58,276.0
284,97.49,132.77,29.64,277.0
285,57.92,44.04,3.88,278.0
286,132.48,112.08,39.85,279.0
287,12.6,6.92,45.83,280.0
288,67.24,102.79,46.03,281.0
289,72.66,139.25,26.44,282.0
290,78.19,126.95,34.87,283.0
291,30.72,60.22,35.71,268.0
292,67.16,73.5,9.68,284.0
293,64.55,132.99,97.26,285.0
294,7.45,38.22,25.86,286.0
295,76.04,66.67,11.21,287.0
296,76.75,114.49,26.73,288.0
297,95.08,105.67,49.29,289.0
298,127.94,18.04,94.9,290.0
299,29.18,17.09,128.7,291.0
300,51.99,77.07,19.61,292.0
301,20.87,68.94,127.29,293.0
302,10.83,30.22,120.52,294.0
303,104.62,52.06,129.94,186.0
304,120.81,85.13,62.38,295.0
305,58.78,43.3,74.84,125.0
306,114.26,55.6,130.94,296.0
307,76.84,109.51,64.29,297.0
308,74.79,99.81,68.91,298.0
309,15.1,109.53,126.08,299.0
310,84.66,133.66,70.8,260.0
311,49.51,77.18,10.37,300.0
312,58.98,41.21,72.02,301.0
313,88.78,127.9,105.6,302.0
314,97.69,22.64,5.7,303.0
315,5.62,94.5,30.36,304.0
316,22.24,50.93,4.35,305.0
317,113.83,52.12,8.43,306.0
318,111.5,125.45,113.25,116.0
319,38.31,6.26,54.37,307.0
320,35.59,31.86,72.85,308.0
321,14.48,73.54,36.37,309.0
322,49.07,37.44,102.37,310.0
323,96.08,107.88,46.88,311.0
324,25.13,68.04,116.32,20.0
325,78.84,2.06,8.39,312.0
326,79.79,59.09,33.79,313.0
327,127.13,137.65,81.83,314.0
328,61.78,30.1,133.24,315.0
329,117.25,114.04,44.84,316.0
330,55.74,135.22,97.54,317.0
331,95.55,90.35,8.14,318.0
332,120.71,117.05,127.21,319.0
333,76.4,120.04,28.67,320.0
334,96.36,111.87,101.42,321.0
335,25.89,55.59,92.56,322.0
336,125.05,124.77,110.26,323.0
337,123.75,69.8,6.28,324.0
338,70.78,42.73,78.04,325.0
339,77.85,75.67,49.67,326.0
340,24.87,140.96,81.43,133.0
341,96.54,134.39,111.47,327.0
342,70.85,5.41,31.66,328.0
343,59.56,29.77,99.29,329.0
344,66.97,133.23,32.9,330.0
345,93.25,6.25,134.5,331.0
346,107.65,68.56,73.97,332.0
347,138.66,101.75,8.46,333.0
348,44.48,13.02,44.32,334.0
349,127.33,89.18,49.54,335.0
350,118.85,60.35,81.65,336.0
351,69.41,55.73,52.99,162.0
352,69.65,108.56,115.39,337.0
353,79.42,85.42,40.55,338.0
354,92.23,111.6,105.02,339.0
355,39.59,76.26,91.2,340.0
356,74.45,67.73,9.63,341.0
357,18.33,9.3,26.32,342.0
358,116.86,8.05,8.74,343.0
359,81.02,40.39,111.73,344.0
360,138.65,18.67,30.95,345.0
361,98.24,51.18,69.71,346.0
362,125.39,116.08,8.76,347.0
363,75.95,98.44,94.25,348.0
364,44.23,6.18,131.86,349.0
365,118.86,91.35,58.95,350.0
366,46.28,39.74,47.75,351.0
367,56.08,138.93,141.05,352.0
368,84.34,87.78,125.82,353.0
369,113.1,30.91,86.09,354.0
370,48.12,31.16,82.71,355.0
371,111.73,6.9,17.11,356.0
372,82.25,41.08,79.18,357.0
373,115.99,17.76,11.1,358.0
374,78.93,9.52,71.83,359.0
375,95.61,65.65,91.57,360.0
376,110.66,62.67,98.11,361.0
377,124.53,132.55,81.39,362.0
378,54.63,85.68,34.96,363.0
379,23.84,73.11,124.34,364.0
380,45.2,70.02,85.13,365.0
381,78.54,27.43,110.11,366.0
382,14.17,59.14,15.3,367.0
383,120.96,97.34,82.2,82.0
384,61.01,35.89,30.27,368.0
385,116.84,39.46,30.91,369.0
386,63.94,27.29,133.81,370.0
387,5.96,92.96,25.08,371.0
388,94.44,135.29,71.28,372.0
389,54.32,19.0,111.99,177.0
390,15.36,100.16,45.92,373.0
391,20.9,48.86,61.95,374.0
392,125.95,58.84,122.51,375.0
393,80.28,125.68,92.48,376.0
394,55.44,8.03,46.07,377.0
395,51.52,80.9,18.37,378.0
396,45.5,66.95,97.94,379.0
397,105.22,61.52,120.3,380.0
398,9.88,27.67,97.72,381.0
399,6.99,54.81,22.75,382.0
400,105.77,66.24,42.67,383.0
401,39.72,65.0,131.99,384.0
402,87.07,49.53,44.74,385.0
403,127.29,99.48,31.06,386.0
404,112.24,109.74,120.82,387.0
405,74.85,84.37,48.39,388.0
406,72.3,137.14,66.4,389.0
407,99.16,31.68,103.38,83.0
408,18.34,75.63,139.1,390.0
409,49.99,74.14,22.02,391.0
410,36.55,135.73,70.19,392.0
411,84.21,4.04,23.13,393.0
412,26.02,31.86,126.7,394.0
413,66.72,1.76,50.68,395.0
414,137.19,81.72,136.89,396.0
415,114.8,96.59,62.39,397.0
416,70.33,134.57,68.55,398.0
417,89.33,113.51,12.4,399.0
418,83.61,102.09,51.09,400.0
419,7.17,116.77,20.22,401.0
420,84.27,133.76,70.82,260.0
421,106.3,97.54,1.92,402.0
422,51.51,15.24,17.17,403.0
423,33.57,57.86,43.7,404.0
424,19.26,125.75,32.58,405.0
425,67.97,136.17,72.31,146.0
426,14.93,88.57,17.84,406.0
427,126.17,29.85,88.42,407.0
428,126.76,124.69,21.93,408.0
429,76.36,73.55,10.42,409.0
430,99.26,118.76,17.75,410.0
431,125.41,126.66,79.91,411.0
432,110.87,82.49,136.17,412.0
433,28.46,0.81,13.66,413.0
434,131.71,75.3,101.61,414.0
435,53.64,124.25,136.77,188.0
436,52.42,111.35,138.25,415.0
437,18.6,115.61,78.06,416.0
438,108.92,108.19,78.16,31.0
439,7.65,140.51,124.34,417.0
440,101.8,130.09,13.63,418.0
441,46.07,80.03,66.16,419.0
442,89.74,31.74,5.0,420.0
443,115.84,137.73,121.23,421.0
444,117.55,91.74,96.78,422.0
445,16.54,76.1,37.35,423.0
446,32.17,82.23,3.45,424.0
447,107.29,15.3,18.28,425.0
448,46.75,85.78,22.04,426.0
449,8.01,66.76,32.07,427.0
450,23.81,138.87,57.01,428.0
451,107.88,75.25,84.91,429.0
452,20.44,102.42,2.41,430.0
453,109.2,108.39,77.88,31.0
454,3.12,49.7,16.26,431.0
455,33.0,86.67,14.73,432.0
456,71.76,59.13,10.34,433.0
457,117.98,67.9,54.54,434.0
458,100.17,31.89,104.54,83.0
459,48.7,52.31,79.78,435.0
460,64.07,21.34,0.44,436.0
461,116.98,52.13,122.67,437.0
462,81.66,131.93,21.74,438.0
463,57.37,138.33,127.81,439.0
464,6.12,6.92,38.33,440.0
465,68.37,133.0,34.22,441.0
466,80.72,125.35,74.13,442.0
467,11.53,29.38,100.51,443.0
468,16.77,102.85,47.48,444.0
469,124.22,62.88,99.01,445.0
470,52.62,18.05,8.13,446.0
471,94.6,55.61,79.33,447.0
472,60.48,31.18,81.11,448.0
473,46.73,7.74,91.59,449.0
474,77.4,94.62,95.96,450.0
475,66.37,53.21,50.03,451.0
476,82.65,68.73,102.18,452.0
477,84.95,67.04,12.92,453.0
