,binnedMr,0,magAv,MagMr,logMax
157,"(-13.64, -13.54]",44,-13.587045454545459,0.0008900391102558742,-0.016949668247827177
158,"(-13.54, -13.44]",43,-13.483953488372093,0.0008487713226432844,0.03492129054959081
159,"(-13.44, -13.34]",40,-13.39025,0.0008129241021227193,0.059734919321223545
160,"(-13.34, -13.24]",34,-13.287941176470587,0.000775511487460038,0.05053913915316177
161,"(-13.24, -13.14]",29,-13.19551724137931,0.0007431961449901075,0.036912581064630245
162,"(-13.14, -13.04]",29,-13.08758620689655,0.0007071592741654753,0.10167120175428468
163,"(-13.04, -12.94]",26,-12.98307692307692,0.0006739309236062187,0.11695212211792705
164,"(-12.94, -12.84]",32,-12.885312500000001,0.0006442619755953046,0.26578740631316333
165,"(-12.84, -12.74]",20,-12.7765,0.0006127735345213956,0.1269549236572396
166,"(-12.74, -12.64]",34,-12.684999999999999,0.0005874893525297769,0.41230384503551587
167,"(-12.64, -12.54]",23,-12.57913043478261,0.0005595334916732497,0.3060745031412859
168,"(-12.54, -12.44]",18,-12.48111111111111,0.0005348379582615641,0.2584307664298995
169,"(-12.44, -12.34]",17,-12.385882352941175,0.0005118897938411615,0.29074443760682633
170,"(-12.34, -12.24]",19,-12.276315789473685,0.00048670203026409536,0.4047890552618765
171,"(-12.24, -12.14]",15,-12.191999999999998,0.0004681661397243642,0.3527161870489429
172,"(-12.14, -12.04]",7,-12.061428571428573,0.00044084479173997525,0.10006582515037044
173,"(-12.04, -11.94]",8,-12.0025,0.0004290421892388866,0.19341491498520125
174,"(-11.94, -11.84]",7,-11.887142857142859,0.00040684461442448184,0.20463725372180108
175,"(-11.84, -11.74]",4,-11.785,0.0003881503659906486,0.022884919321222497
176,"(-11.74, -11.64]",6,-11.683333333333332,0.00037039632297053654,0.25997617837690346
177,"(-11.64, -11.54]",5,-11.596,0.0003557951305597433,0.23319493232927824
178,"(-11.54, -11.44]",4,-11.4875,0.00033845427186630965,0.2013849193212221
179,"(-11.44, -11.34]",2,-11.385,0.00032284941217126446,-0.03814507634276132
180,"(-11.34, -11.24]",3,-11.256666666666666,0.00030432198871077225,0.21494618271292337
181,"(-11.24, -11.14]",5,-11.180000000000001,0.00029376496519615424,0.48279493232927484
182,"(-11.14, -11.04]",3,-11.096666666666666,0.0002827048982703312,0.31094618271292085
183,"(-11.04, -10.94]",2,-10.975000000000001,0.000267300640866332,0.20785492365723823
184,"(-10.94, -10.84]",2,-10.885,0.00025644840365177216,0.2618549236572402
185,"(-10.84, -10.74]",1,-10.75,0.0002409905428686598,0.04182492799325947
186,"(-10.74, -10.64]",2,-10.67,0.00023227367963571098,0.3908549236572407
187,"(-10.64, -10.54]",2,-10.59,0.00022387211385683424,0.4388549236572407
188,"(-10.54, -10.44]",3,-10.496666666666666,0.00021445359617877987,0.6709461827129213
