,binnedMr,0,log
182,"(-11.14, -11.04]",3,-5.832878745280337
183,"(-11.04, -10.94]",2,-6.008970004336018
184,"(-10.94, -10.84]",2,-6.008970004336018
185,"(-10.84, -10.74]",1,-6.31
186,"(-10.74, -10.64]",2,-6.008970004336018
187,"(-10.64, -10.54]",2,-6.008970004336018
188,"(-10.54, -10.44]",3,-5.832878745280337
189,"(-10.44, -10.34]",0,-6.31
190,"(-10.34, -10.24]",0,-6.31
191,"(-10.24, -10.14]",0,-6.31
192,"(-10.14, -10.04]",0,-6.31
